Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
2025-05-01,00:26:29,2.9,16.758,-99.154,25.3,"26 km al ESTE de SAN MARCOS, GRO ",2025-05-01,06:26:29,verificado
2025-05-01,00:40:45,3.9,16.188,-97.588,13.2,"26 km al NOROESTE de RIO GRANDE, OAX ",2025-05-01,06:40:45,verificado
2025-05-01,01:09:18,3.4,31.412,-115.595,8.2,"84 km al NOROESTE de SAN FELIPE, BC ",2025-05-01,07:09:18,verificado
2025-05-01,01:27:36,3.3,16.033,-97.591,16.0,"17 km al OESTE de RIO GRANDE, OAX ",2025-05-01,07:27:36,verificado
2025-05-01,01:39:43,3.4,16.371,-98.068,5.0,"4 km al NOROESTE de PINOTEPA NACIONAL, OAX ",2025-05-01,07:39:43,verificado
2025-05-01,01:49:08,3.6,17.924,-100.218,58.8,"44 km al SUR de ARCELIA, GRO ",2025-05-01,07:49:08,verificado
2025-05-01,02:04:56,3.4,16.393,-98.062,5.0,"6 km al NORTE de PINOTEPA NACIONAL, OAX ",2025-05-01,08:04:56,verificado
2025-05-01,02:06:13,3.5,19.524,-104.885,40.1,"46 km al NOROESTE de CIHUATLAN, JAL ",2025-05-01,08:06:13,verificado
2025-05-01,02:24:39,3.3,17.333,-100.926,45.2,"34 km al NOROESTE de TECPAN, GRO ",2025-05-01,08:24:39,verificado
2025-05-01,02:32:39,3.5,19.605,-104.764,2.7,"34 km al OESTE de CASIMIRO CASTILLO, JAL ",2025-05-01,08:32:39,verificado
2025-05-01,03:47:40,3.2,19.563,-104.01,4.5,"34 km al SURESTE de EL GRULLO, JAL ",2025-05-01,09:47:40,verificado
2025-05-01,04:40:09,2.6,19.553,-103.998,11.5,"36 km al SURESTE de EL GRULLO, JAL ",2025-05-01,10:40:09,verificado
2025-05-01,04:47:05,2.9,17.027,-99.314,51.3,"27 km al NORESTE de SAN MARCOS, GRO ",2025-05-01,10:47:05,verificado
2025-05-01,05:09:39,3.1,19.598,-104.749,8.0,"33 km al OESTE de CASIMIRO CASTILLO, JAL ",2025-05-01,11:09:39,verificado
2025-05-01,05:12:34,3.0,18.585,-96.78,31.9,"26 km al SUR de CUITLAHUAC, VER ",2025-05-01,11:12:34,verificado
2025-05-01,05:30:39,3.5,16.556,-96.306,70.4,"40 km al NORESTE de MIAHUATLAN, OAX ",2025-05-01,11:30:39,verificado
2025-05-01,05:37:22,4.2,13.622,-92.502,9.9,"123 km al SUROESTE de CD HIDALGO, CHIS ",2025-05-01,11:37:22,verificado
2025-05-01,05:45:49,3.9,13.957,-92.098,47.8,"80 km al SUR de CD HIDALGO, CHIS ",2025-05-01,11:45:49,verificado
2025-05-01,06:50:51,3.4,28.0,-112.19,10.0,"74 km al NORTE de SANTA ROSALIA, BCS ",2025-05-01,12:50:51,verificado
2025-05-01,06:53:23,3.3,16.853,-100.308,4.3,"29 km al SUROESTE de COYUCA DE BENITEZ, GRO ",2025-05-01,12:53:23,verificado
